date,confiance,paris,succes,gains,profit,strategie
2021-02-18,Moyen,11,8,14.9,3.9000000000000004,PLACE
2021-02-19,FORT,18,15,21.0,3.0,PLACE
2021-02-19,Moyen,7,4,8.3,1.3000000000000007,PLACE
2021-02-20,FORT,19,10,14.6,-4.4,PLACE
2021-02-20,Moyen,10,5,9.7,-0.3000000000000007,PLACE
2021-02-21,FORT,13,7,10.4,-2.5999999999999996,PLACE
2021-02-21,Moyen,12,7,13.2,1.1999999999999993,PLACE
2021-02-22,FORT,17,8,11.8,-5.199999999999999,PLACE
2021-02-22,Moyen,5,3,4.4,-0.5999999999999996,PLACE
2021-02-23,FORT,20,15,22.7,2.6999999999999993,PLACE
2021-02-23,Moyen,4,2,3.5,-0.5,PLACE
2021-02-24,FORT,15,13,20.1,5.100000000000001,PLACE
2021-02-24,Moyen,9,4,9.399999999999999,0.3999999999999986,PLACE
2021-02-25,FORT,15,7,9.5,-5.5,PLACE
2021-02-25,Moyen,10,7,16.6,6.600000000000001,PLACE
2021-02-26,FORT,19,15,24.4,5.399999999999999,PLACE
2021-02-26,Moyen,5,2,4.0,-1.0,PLACE
2021-02-27,FORT,22,18,28.1,6.100000000000001,PLACE
2021-02-27,Moyen,9,7,12.5,3.5,PLACE
2021-02-28,FORT,15,11,11.0,-4.0,PLACE
2021-02-28,Moyen,11,5,9.7,-1.3000000000000007,PLACE
2021-03-01,FORT,18,12,17.8,-0.1999999999999993,PLACE
2021-03-01,Moyen,7,2,3.7,-3.3,PLACE
2021-03-02,FORT,19,15,21.9,2.8999999999999986,PLACE
2021-03-02,Moyen,5,2,3.6,-1.4,PLACE
2021-03-03,FORT,15,8,11.1,-3.9000000000000004,PLACE
2021-03-03,Moyen,8,6,9.4,1.4000000000000004,PLACE
2021-03-04,FORT,16,12,17.4,1.3999999999999986,PLACE
2021-03-04,Moyen,6,2,3.3,-2.7,PLACE
2021-03-05,FORT,23,15,22.7,-0.3000000000000007,PLACE
2021-03-05,Moyen,8,0,0.0,-8.0,PLACE
2021-03-06,FORT,26,15,20.7,-5.300000000000001,PLACE
2021-03-06,Moyen,6,4,7.9,1.9000000000000004,PLACE
2021-03-07,FORT,18,15,23.3,5.300000000000001,PLACE
2021-03-07,Moyen,9,2,5.4,-3.5999999999999996,PLACE
2021-03-08,FORT,19,14,19.5,0.5,PLACE
2021-03-08,Moyen,13,6,13.0,0.0,PLACE
2021-03-09,FORT,18,12,13.8,-4.199999999999999,PLACE
2021-03-09,Moyen,7,2,3.3,-3.7,PLACE
2021-03-10,FORT,16,14,21.9,5.899999999999999,PLACE
2021-03-10,Moyen,8,6,10.5,2.5,PLACE
2021-03-11,FORT,17,14,22.1,5.100000000000001,PLACE
2021-03-11,Moyen,7,5,12.3,5.300000000000001,PLACE
2021-03-12,FORT,25,22,32.7,7.700000000000003,PLACE
2021-03-12,Moyen,8,4,7.8,-0.20000000000000018,PLACE
2021-03-13,FORT,21,14,23.0,2.0,PLACE
2021-03-13,Moyen,10,6,8.0,-2.0,PLACE
2021-03-14,FORT,22,18,24.2,2.1999999999999993,PLACE
2021-03-14,Moyen,6,1,2.4,-3.6,PLACE
2021-03-15,FORT,9,5,8.1,-0.9000000000000004,PLACE
2021-03-15,Moyen,14,8,14.8,0.8000000000000007,PLACE
2021-03-16,FORT,18,12,15.7,-2.3000000000000007,PLACE
2021-03-16,Moyen,5,3,5.3,0.2999999999999998,PLACE
2021-03-17,FORT,17,7,10.2,-6.800000000000001,PLACE
2021-03-17,Moyen,6,4,10.0,4.0,PLACE
2021-03-18,FORT,16,9,14.9,-1.0999999999999996,PLACE
2021-03-18,Moyen,8,3,6.6,-1.4000000000000004,PLACE
2021-03-19,FORT,25,16,24.1,-0.8999999999999986,PLACE
2021-03-19,Moyen,8,3,5.6000000000000005,-2.3999999999999995,PLACE
2021-03-20,FORT,22,16,25.3,3.3000000000000007,PLACE
2021-03-20,Moyen,11,6,12.2,1.1999999999999993,PLACE
2021-03-21,FORT,17,12,19.4,2.3999999999999986,PLACE
2021-03-21,Moyen,10,5,11.1,1.0999999999999996,PLACE
2021-03-22,FORT,13,11,13.5,0.5,PLACE
2021-03-22,Moyen,10,7,14.1,4.1,PLACE
2021-03-23,FORT,17,14,20.8,3.8000000000000007,PLACE
2021-03-23,Moyen,7,4,6.5,-0.5,PLACE
2021-03-24,FORT,13,11,15.5,2.5,PLACE
2021-03-24,Moyen,10,7,14.2,4.199999999999999,PLACE
2021-03-25,FORT,13,8,10.9,-2.0999999999999996,PLACE
2021-03-25,Moyen,10,4,8.0,-2.0,PLACE
2021-03-26,FORT,23,18,28.0,5.0,PLACE
2021-03-26,Moyen,9,5,9.9,0.9000000000000004,PLACE
2021-03-27,FORT,14,12,17.700000000000003,3.700000000000003,PLACE
2021-03-27,Moyen,10,4,7.3,-2.7,PLACE
2021-03-28,FORT,16,12,18.8,2.8000000000000007,PLACE
2021-03-28,Moyen,9,6,10.1,1.0999999999999996,PLACE
2021-03-29,FORT,16,11,14.5,-1.5,PLACE
2021-03-29,Moyen,10,6,11.9,1.9000000000000004,PLACE
2021-03-30,FORT,16,10,14.5,-1.5,PLACE
2021-03-30,Moyen,8,6,15.5,7.5,PLACE
2021-03-31,FORT,15,11,16.7,1.6999999999999993,PLACE
2021-03-31,Moyen,10,4,7.9,-2.0999999999999996,PLACE
2021-04-01,FORT,15,11,16.55,1.5500000000000007,PLACE
2021-04-01,Moyen,8,5,9.4,1.4000000000000004,PLACE
2021-04-02,FORT,16,10,15.8,-0.1999999999999993,PLACE
2021-04-02,Moyen,16,6,10.6,-5.4,PLACE
2021-04-03,FORT,26,20,25.2,-0.8000000000000007,PLACE
2021-04-03,Moyen,17,11,11.7,-5.300000000000001,PLACE
2021-04-04,FORT,13,11,16.4,3.3999999999999986,PLACE
